Label,Question,ExamCode,A,B,C,D,E
"indices","1","170","1","2","4","3",NA
"indices","2","170","2","1","4","3",NA
"indices","3","170","1","4","2","3",NA
"indices","4","170","3","1","2","4",NA
"indices","5","170","1","4","2","3",NA
"indices","6","170","1","3","2","4",NA
"indices","7","170","1","4","2","3",NA
"indices","8","170","1","4","3","2",NA
"indices","9","170","5","3","4","1","2"
"indices","10","170","1","2","3","4",NA
"indices","11","170","1","2","4","3",NA
"indices","12","170","3","4","1","2",NA
"indices","13","170","1","2","3","4",NA
"indices","14","170","2","1","3","4",NA
"indices","15","170","1","5","4","2","3"
"indices","16","170","4","2","3","1",NA
"indices","17","170","2","1","4","3",NA
"indices","18","170","3","1","4","2",NA
"indices","19","170","3","2","1","4",NA
"indices","20","170","3","1","2","4",NA
"indices","21","170","4","2","3","1",NA
"indices","22","170","1","3","2","4",NA
"indices","23","170","4","1","3","2","5"
"indices","24","170","4","1","2","3","5"
"indices","25","170","3","2","5","4","1"
"indices","26","170","4","3","2","1","5"
"indices","27","170","4","1","2","3","5"
"indices","28","170","3","2","4","1","5"
"indices","29","170","1","3","4","2","5"
"indices","30","170","2","3","1","4","5"
"indices","1","738","2","1","3","4",NA
"indices","2","738","1","2","3","4",NA
"indices","3","738","2","3","1","4",NA
"indices","4","738","4","2","1","3",NA
"indices","5","738","2","3","1","4",NA
"indices","6","738","2","4","1","3",NA
"indices","7","738","2","3","1","4",NA
"indices","8","738","2","3","4","1",NA
"indices","9","738","1","4","5","2","3"
"indices","10","738","2","3","1","4",NA
"indices","11","738","2","1","3","4",NA
"indices","12","738","4","3","2","1",NA
"indices","13","738","2","3","1","4",NA
"indices","14","738","3","2","1","4",NA
"indices","15","738","2","1","5","3","4"
"indices","16","738","3","1","4","2",NA
"indices","17","738","1","2","3","4",NA
"indices","18","738","4","2","3","1",NA
"indices","19","738","1","3","2","4",NA
"indices","20","738","1","2","3","4",NA
"indices","21","738","3","1","4","2",NA
"indices","22","738","2","1","3","4",NA
"indices","23","738","5","2","4","3","1"
"indices","24","738","5","2","3","4","1"
"indices","25","738","4","3","1","5","2"
"indices","26","738","5","4","3","2","1"
"indices","27","738","3","2","1","4","5"
"indices","28","738","4","1","3","2","5"
"indices","29","738","2","4","3","1","5"
"indices","30","738","3","1","2","4","5"
"indices","1","840","4","3","1","2",NA
"indices","2","840","3","4","1","2",NA
"indices","3","840","4","1","3","2",NA
"indices","4","840","2","4","3","1",NA
"indices","5","840","4","1","3","2",NA
"indices","6","840","4","2","3","1",NA
"indices","7","840","4","1","3","2",NA
"indices","8","840","4","1","2","3",NA
"indices","9","840","2","5","1","3","4"
"indices","10","840","3","1","2","4",NA
"indices","11","840","4","3","1","2",NA
"indices","12","840","2","1","4","3",NA
"indices","13","840","3","1","2","4",NA
"indices","14","840","1","3","2","4",NA
"indices","15","840","3","2","1","4","5"
"indices","16","840","1","3","2","4",NA
"indices","17","840","3","4","1","2",NA
"indices","18","840","2","4","1","3",NA
"indices","19","840","2","1","3","4",NA
"indices","20","840","2","3","1","4",NA
"indices","21","840","1","3","2","4",NA
"indices","22","840","3","2","1","4",NA
"indices","23","840","1","3","5","4","2"
"indices","24","840","1","3","4","5","2"
"indices","25","840","5","4","2","1","3"
"indices","26","840","1","5","4","3","2"
"indices","27","840","1","4","3","2","5"
"indices","28","840","2","3","1","4","5"
"indices","29","840","4","2","1","3","5"
"indices","30","840","1","2","3","4","5"
"indices","1","967","3","4","2","1",NA
"indices","2","967","4","3","2","1",NA
"indices","3","967","3","2","4","1",NA
"indices","4","967","1","3","4","2",NA
"indices","5","967","3","2","4","1",NA
"indices","6","967","3","1","4","2",NA
"indices","7","967","3","2","4","1",NA
"indices","8","967","3","2","1","4",NA
"indices","9","967","4","1","3","5","2"
"indices","10","967","1","3","2","4",NA
"indices","11","967","3","4","2","1",NA
"indices","12","967","1","2","3","4",NA
"indices","13","967","1","3","2","4",NA
"indices","14","967","3","1","2","4",NA
"indices","15","967","5","4","3","2","1"
"indices","16","967","2","4","1","3",NA
"indices","17","967","4","3","2","1",NA
"indices","18","967","1","3","2","4",NA
"indices","19","967","2","3","1","4",NA
"indices","20","967","2","1","3","4",NA
"indices","21","967","2","4","1","3",NA
"indices","22","967","1","2","3","4",NA
"indices","23","967","3","5","1","2","4"
"indices","24","967","3","5","2","1","4"
"indices","25","967","1","2","4","3","5"
"indices","26","967","3","1","2","5","4"
"indices","27","967","2","3","4","1","5"
"indices","28","967","1","4","2","3","5"
"indices","29","967","3","1","2","4","5"
"indices","30","967","3","2","1","4","5"
